Alabama,AL,4
Arizona,AZ,5.6
Arkansas,AR,6
California,CA,7.25
Colorado,CO,2.9
Connecticut,CT,6
Florida,FL,6
Georgia,GA,4
Idaho,ID,5
Illinois,IL,6.25
Indiana,IN,6
Iowa,IA,5
Kansas,KS,5.3
Kentucky,KY,6
Louisiana,LA,4
Maine,ME,5
Maryland,MD,5
Massachusetts,MA,5
Michigan,MI,6
Minnesota,MN,6.5
Mississippi,MS,7
Missouri,MO,5
Nebraska,NE,5.5
Nevada,NV,6.5
New Jersey, NJ,7
New Mexico, NM,5
New York, NY,4
North Carolina, NC,4.5
North Dakota, ND,5
Ohio,OH,5.5
Oklahoma,OK,4.5
Pennsylvania,PA,6
Rhode Island, RI,7
South Carolina, SC,5
South Dakota, SD,4
Tennessee,TN,6
Texas,TX,6.25
Utah,UT,4.75
Vermont,VT,6
Virginia,VA,5
Washington,WA,6.5
West Virginia, WV,6
Wisconsin,WI,5
Wyoming,WY,4
